Index,Inclination Angle (deg),Right Ascension of Ascending Node (deg),Eccentricity,Argument of Perigee (deg),Mean Anomaly (deg),Mean Motion (revs/day),Orbit Type
22,98.0411,253.8068,0.008423,267.0532,92.102,14.551266,S42
56,98.8113,256.7802,0.000147,60.0823,300.0459,14.195652,S42
79,6.7561,68.4552,0.001414,309.9278,49.875,0.983356,S4I
197,0.0474,66.5771,0.000132,25.5105,154.4285,1.002725,S4G
198,0.0261,28.6118,7.5e-05,157.1359,113.8384,1.002708,S4G
200,64.8937,174.9537,0.001892,199.4282,333.8767,2.131024,S4A
203,64.8908,174.9557,0.001652,330.465,182.3734,2.131022,S4A
206,64.878,174.9289,0.000542,271.3869,158.9594,2.131025,S4A
209,63.5813,9.9559,0.741627,288.4327,7.6178,2.005896,S4M
213,51.9856,82.7911,7.9e-05,93.0914,267.0039,12.622728,S45
214,51.9676,126.997,0.000112,35.9192,324.1747,12.622724,S45
215,51.9782,262.4914,2.6e-05,143.5784,216.5094,12.622626,S45
216,51.9733,171.7238,0.000132,222.8071,137.2694,12.622577,S45
217,0.0372,237.1996,0.000267,228.0085,78.6605,1.002704,S4G
218,0.0369,190.5271,2.2e-05,65.6397,279.8152,1.002719,S4G
222,54.8676,351.3222,0.000872,286.5298,73.3725,2.005645,S4A
225,0.0615,93.7338,0.00018,346.8792,181.7287,1.002696,S4G
226,97.7998,191.9557,8.2e-05,86.0789,274.0521,14.803164,S42
228,98.1585,22.9484,0.001385,76.1068,36.5083,15.264345,S42
231,0.0245,88.1414,0.000206,9.0619,219.4666,1.002713,S4G
233,41.0201,226.0015,0.012353,115.8732,245.4899,15.249164,S45
235,0.0371,132.7422,0.000152,93.2343,55.3632,1.002704,S4G
237,0.0347,59.1253,0.00025,48.1387,109.0757,1.002717,S4G
238,97.8667,17.505,0.000131,70.4185,289.7174,14.82165,S42
240,64.7926,55.3783,0.001952,0.1486,359.9172,2.131037,S4A
242,64.7797,55.3883,0.000393,69.9508,290.1581,2.131034,S4A
246,64.7804,55.3932,0.000527,109.2686,250.8565,2.131032,S4A
249,0.0186,26.5761,0.000239,76.1021,89.6531,1.002705,S4G
267,51.6409,276.9233,0.000903,340.7905,137.693,15.749419,S45
268,98.1511,253.0736,0.002385,182.9724,161.0559,15.264457,S42
269,18.7806,141.7771,0.252793,21.2657,113.261,1.409207,S4A
270,55.1698,52.0252,0.001675,155.3073,204.8344,2.005597,S4A
325,9.2676,59.2163,0.002141,302.0275,57.7491,0.991044,S4I
391,35.4342,33.9084,0.000108,243.8042,116.2564,15.030146,S45
392,0.043,276.437,0.000123,279.269,224.211,1.002785,S4G
402,35.4367,34.315,0.000156,210.0279,150.0348,15.029469,S45
415,97.9976,248.4679,0.001782,93.3851,266.9385,14.785876,S42
433,75.0832,216.816,0.27306,330.5034,16.5765,9.939008,S4A
483,46.0392,35.7839,0.000933,343.4544,16.6042,15.232323,S45
486,46.0215,65.1901,0.001077,339.2583,20.7873,15.136128,S45
489,82.5024,111.3897,0.001776,210.1076,149.8981,12.429969,S45
586,0.0636,115.8228,0.000168,121.2622,39.3508,1.002698,S4G
588,97.9184,247.2488,0.003022,13.5504,346.6521,14.764251,S42
589,48.4455,247.2057,0.000739,31.3865,328.7494,14.68306,S45
622,98.0414,253.7404,0.008438,267.7115,91.4381,14.551225,S42
623,0.0548,182.7831,0.000308,277.2361,253.4765,1.002728,S4G
624,48.4439,247.205,0.00075,30.1951,329.9396,14.682731,S45
626,48.4447,247.5253,0.00076,29.0851,331.0482,14.682557,S45
628,48.4436,247.5243,0.000761,28.3196,331.8134,14.682404,S45
630,48.4454,247.2047,0.000792,29.8088,330.3277,14.683022,S45
632,48.4444,247.5621,0.0008,4.6628,355.4393,14.676882,S45
637,54.991,173.1971,0.00399,279.2678,80.262,2.005664,S4A
644,82.9784,354.1688,0.003857,169.0293,191.1713,13.746839,S45
646,97.9942,248.7189,0.001397,69.8069,290.4645,14.800179,S42
648,97.9877,248.1393,0.001718,76.7206,283.5919,14.814299,S42
651,53.7882,113.8126,0.001926,73.7402,286.465,1.888575,S4A
671,98.4426,251.344,0.001085,183.3009,176.8111,14.288373,S42
680,11.4692,38.6189,0.001499,153.6386,206.4563,1.013721,S4I
693,55.8826,314.2768,0.001413,226.3971,133.4878,1.860848,S4A
716,7.8836,65.1572,0.000711,226.0911,133.8037,0.991856,S4I
718,26.8066,103.3396,0.63077,294.391,13.8906,3.542986,S4K
741,8.4586,46.5775,0.000217,329.5476,30.4322,1.002757,S4J
772,54.8967,56.1158,0.000817,332.8243,27.1956,1.894236,S4A
791,6.059,70.5213,0.000137,20.9698,197.2248,1.002713,S4J
804,54.3976,243.9519,0.001731,215.4528,144.5127,1.891756,S4A
837,97.9995,78.2445,0.000572,354.3186,5.7947,14.699635,S42
926,74.0321,267.392,0.002217,109.3203,251.0354,14.326165,S45
945,0.0346,70.5486,0.000173,47.2023,85.4709,1.002716,S4G
973,98.2153,172.5268,0.00125,113.6024,246.6473,14.318655,S42
990,0.0149,64.5964,9.9e-05,38.2562,212.2535,1.002722,S4G
995,0.0105,207.0582,0.000233,260.7849,137.1417,1.002716,S4G
1001,56.4885,3.1431,0.001054,180.7558,179.2522,1.895969,S4A
1019,99.0225,168.234,0.053967,232.2322,122.8717,12.833573,S42
1029,0.0221,7.4885,0.000382,85.0108,285.8433,1.002673,S4G
1037,8.2133,64.4843,0.000276,175.4946,184.4465,0.992424,S4I
1057,0.0689,3.831,0.000302,106.2044,139.6908,1.002744,S4G
1061,16.8153,212.7722,0.641752,62.5102,347.7335,2.004324,S4K
1067,0.0404,332.1125,0.000449,109.7471,279.4524,1.002723,S4G
1074,28.4686,197.6864,0.000374,224.6048,135.424,15.003912,S45
1087,8.9943,60.3715,0.001792,28.852,331.2233,1.002585,S4J
1108,17.7035,223.2638,0.711358,151.2672,280.6003,2.426174,S4K
1121,55.2882,305.009,0.004668,228.186,131.426,1.871815,S4A
1145,0.0874,208.2373,0.000248,263.4335,169.8879,1.002695,S4G
1157,54.3645,238.6122,0.001861,143.3616,216.8443,1.877542,S4A
1175,0.9137,83.9655,0.000149,31.8951,181.3562,1.002722,S4G
1187,5.3126,72.9921,0.000324,53.822,306.068,0.997627,S4I
1223,0.5668,33.7883,0.000207,128.4153,89.5467,1.002705,S4G
1257,55.4996,296.8607,0.01412,284.5166,75.4684,2.005457,S4A
1266,0.2275,76.4194,0.000139,30.0376,197.0681,1.002699,S4G
1286,64.5597,309.4956,0.006218,264.1732,95.2295,14.758875,S45
1344,5.7925,70.795,3.8e-05,10.8925,161.0036,1.002732,S4J
1364,63.9395,171.4168,0.001303,208.0072,151.9057,2.131023,S4A
1400,98.7648,190.8038,0.001347,70.3608,289.8972,14.255368,S42
1443,54.5845,234.9304,0.007818,317.3538,42.1176,2.005637,S4A
1461,0.0151,33.5567,0.000265,320.2966,359.0509,1.002703,S4G
1470,98.1881,218.7155,0.003488,28.9152,331.397,14.356615,S42
1498,97.18,266.8812,0.000244,84.3259,1.8893,15.398885,S42
1500,0.0156,262.1569,0.000376,204.2337,81.4928,1.002718,S4G
1519,98.4202,135.3368,0.000651,11.0755,349.0546,14.385076,S42
1556,0.013,3.9446,0.000365,119.0939,176.8016,1.002736,S4G
1577,0.0127,292.2141,0.0003,173.582,272.1222,1.002725,S4G
1595,3.5972,76.792,0.000244,46.4617,211.5629,1.002745,S4J
1619,88.4479,149.7971,0.171517,137.6163,237.102,11.28845,S4A
1635,3.2465,77.5148,0.000373,206.9287,152.8062,1.003343,S4I
1665,55.3136,46.6163,0.011905,288.617,70.1566,2.005609,S4A
1686,0.0099,341.9391,9.4e-05,157.6259,78.9672,1.00267,S4G
1693,5.2657,73.828,0.002342,95.686,264.4469,0.986844,S4I
1717,3.3596,77.9717,0.00135,271.8221,87.7863,0.992851,S4I
1739,19.2931,352.47,0.017356,218.3791,140.3734,0.849311,S4W
1757,0.0623,157.5989,0.000148,6.2016,209.5746,1.002723,S4G
1774,5.6172,74.1035,0.009184,187.7124,172.0185,0.971794,S4I
1795,0.049,336.095,0.00036,109.8475,205.1788,1.002681,S4G
1797,81.638,336.6866,0.004979,44.0992,316.4203,15.37721,S45
1804,0.0744,269.3291,0.000308,228.9254,169.5015,1.002701,S4G
1811,56.921,354.6679,0.018995,53.702,308.0394,2.005715,S4A
1847,65.1056,212.0449,0.626121,232.1318,53.0352,2.004845,S4K
1889,66.0325,65.9323,0.000779,268.2093,91.8029,12.809427,S45
1891,0.0271,226.8122,0.000515,234.425,244.323,1.002721,S4G
1899,0.0117,15.6323,0.000332,98.1218,178.4045,1.002707,S4G
1904,66.0866,330.1511,8.5e-05,154.7859,205.3197,12.864446,S45
1912,0.0136,15.702,0.000259,67.1003,192.9421,1.002728,S4G
1914,0.022,14.9855,0.000259,90.6424,314.8066,1.00271,S4G
1916,0.0083,338.1669,0.000224,124.2331,210.2407,1.002718,S4G
1921,0.0237,62.724,0.000234,13.8461,148.7115,1.002703,S4G
1923,0.0119,323.2329,0.000237,162.2327,177.8308,1.00271,S4G
1925,0.0088,311.5491,0.000319,144.8502,187.7117,1.002709,S4G
1927,66.0885,322.6071,0.000188,88.9384,271.1843,12.867209,S45
1935,51.9981,83.8857,9.5e-05,330.4716,29.6156,12.622622,S45
1941,1.9402,80.6594,0.000892,321.4108,38.0105,0.992082,S4H
1963,55.5754,48.6158,0.021321,262.7036,94.9275,2.005537,S4A
1974,98.8678,129.4538,0.001325,258.9437,101.0275,14.111745,S42
1981,0.3658,85.4425,0.000195,14.7329,219.8621,1.002713,S4G
1984,0.0177,2.3576,0.000208,91.973,255.5688,1.00269,S4G
2043,52.6543,88.4666,0.01371,201.8906,157.5752,6.472941,S4A
2056,7.0057,68.0825,0.000615,219.68,140.2052,0.996984,S4I
2084,56.8023,355.3965,0.007284,256.6711,102.5143,2.005682,S4A
2130,56.7372,353.7646,0.00391,326.0318,33.717,1.882487,S4A
2146,24.9859,286.307,0.001078,241.056,118.8881,14.417721,S45
2159,53.737,115.3137,0.002418,280.0662,79.6479,1.880931,S4A
2180,24.9696,247.226,0.004327,73.8871,286.6409,14.434438,S45
2206,10.3622,49.9243,0.000256,302.696,57.2441,1.001773,S4I
2217,53.4909,172.7639,0.00049,288.9691,70.9507,1.889465,S4A
2227,89.9532,159.9707,0.000214,58.5032,301.6372,14.759239,S43
2229,28.9979,202.7501,0.000379,293.3568,66.6632,14.596885,S45
2234,17.959,22.895,0.728482,247.108,35.989,0.076173,S4V
2252,1.1498,261.3812,6.1e-05,332.4306,344.9011,1.00277,S4G
2259,94.0098,117.4868,0.000235,63.2132,296.9335,14.908647,S43
2260,98.5194,257.501,7e-05,148.2717,211.854,14.26132,S42
2266,53.5849,168.1764,0.010511,271.1491,87.6227,2.005719,S4A
2280,6.9849,68.3792,0.000369,16.2941,343.642,0.995441,S4I
2284,0.4838,230.4394,0.000155,163.7126,265.4361,1.0027,S4G
2305,6.6791,66.9101,0.000792,322.2256,37.6462,0.994093,S4I
2309,7.5746,66.6674,0.000157,115.4209,43.4589,0.992997,S4I
2312,55.6838,49.914,0.019791,81.1752,281.1239,2.00565,S4A
2336,0.048,140.8525,0.000373,296.7148,175.3172,1.002741,S4G
2346,32.0616,17.4077,0.064143,271.5296,81.1972,12.740289,S45
2359,7.0812,67.8218,0.0016,37.5172,322.5354,0.999784,S4I
2371,54.0304,106.7412,0.008696,70.3762,290.5674,2.00575,S4A
2386,0.0187,138.6332,0.000307,330.1624,17.1425,1.002698,S4G
2388,0.0168,89.4706,0.00029,15.5777,185.6973,1.002704,S4G
2397,0.0447,59.9756,0.0001,9.1728,216.9865,1.002636,S4G
2406,82.5504,96.0925,0.002137,228.6797,131.252,13.835262,S45
2411,0.0161,72.377,6.2e-05,290.1376,54.2104,1.002696,S4G
2417,0.0364,291.5746,0.000188,55.9166,344.4853,1.002689,S4G
2431,8.6123,61.9435,0.000366,356.1798,3.7895,1.002714,S4J
